,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,
47085,Tennessee,Humphreys,0.27,74,-0.15,31,-0.02,41,0.02,49,-0.01,46,-0.03,18,
47087,Tennessee,Jackson,0.04,50,0.61,89,0.08,71,0.18,89,0.32,86,0.08,94,
47089,Tennessee,Jefferson,-0.25,25,-0.38,14,-0.10,24,-0.06,28,-0.21,15,-0.04,13,
47091,Tennessee,Johnson,0.76,88,0.18,70,-0.01,46,0.07,68,0.03,53,-0.07,7,
47093,Tennessee,Knox,-0.42,19,-0.28,19,-0.16,9,-0.31,2,-0.29,9,0.06,84,
47095,Tennessee,Lake,0.46,81,0.78,92,0.49,95,0.24,94,0.55,94,-0.03,22,
47097,Tennessee,Lauderdale,0.25,71,0.87,95,0.39,94,0.09,75,0.38,91,0.08,93,
47099,Tennessee,Lawrence,0.00,46,-0.05,42,0.01,53,-0.03,37,-0.08,34,-0.01,42,
47101,Tennessee,Lewis,0.34,76,-0.13,36,0.06,66,0.05,63,0.07,64,-0.15,1,
47103,Tennessee,Lincoln,0.03,49,0.08,56,0.12,79,-0.07,23,-0.17,19,0.07,92,
47105,Tennessee,Loudon,-0.11,36,-0.40,13,-0.31,2,-0.15,11,-0.20,16,-0.01,40,
47107,Tennessee,McMinn,0.11,59,0.07,55,0.10,76,-0.07,20,0.04,54,0.01,58,
47109,Tennessee,McNairy,0.34,77,0.14,62,0.11,78,0.04,61,0.16,73,0.00,44,
47111,Tennessee,Macon,0.16,64,0.37,82,0.05,64,0.33,95,0.04,57,0.01,61,
47113,Tennessee,Madison,-0.09,38,-0.06,41,-0.08,29,-0.26,4,0.03,52,0.00,49,
47115,Tennessee,Marion,0.18,66,0.16,67,-0.02,42,-0.07,22,0.11,67,0.07,90,
47117,Tennessee,Marshall,-0.21,29,-0.36,15,-0.15,11,-0.02,38,-0.23,13,0.03,71,
47119,Tennessee,Maury,-0.55,12,-0.22,25,-0.07,31,-0.18,8,-0.32,8,0.00,50,
47121,Tennessee,Meigs,0.79,89,0.52,88,0.05,65,0.04,59,0.15,71,0.03,72,
47123,Tennessee,Monroe,-0.02,45,0.19,71,0.04,58,0.04,56,0.07,62,0.05,82,
47125,Tennessee,Montgomery,-0.55,13,-0.29,18,0.05,62,-0.11,13,-0.29,10,-0.02,33,
47127,Tennessee,Moore,-0.66,8,-0.80,3,-0.21,3,-0.09,17,-0.37,5,0.00,47,
47129,Tennessee,Morgan,0.68,85,0.51,87,0.16,86,0.14,88,0.07,63,-0.05,8,
