,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
47017,Tennessee,Carroll,72.8,71.7,73.8,74.8,,72.5,635,589,540,637,522,,603,15,62,35,103,,,,,,,,,,,15,14,15,14,14,15,14,11,18,30,126,4410,16,964,3,10,12,49,25,18,33,36,35,37,1900,12,10,14,220,4,2,5,154,648:1,17,41492,37019,45965,28801,23345,39274,,22,21,,,,25,18,12,26,8204,72,70,75,1422,13,10,16,27860,21.3,20.2,2815,10.1,166,0.6,102,0.4,13,0.0,735,2.6,23573,84.6,26,0,0,0,51.2,23690,83.1
47019,Tennessee,Carter,76.1,75.3,76.9,,,,1035,459,429,489,,,,27,63,41,91,,,,24,7,4,10,,,,16,15,16,15,15,16,15,12,19,63,129,8600,15,11750,20,52,31,45,11,8,15,36,35,37,4687,14,12,16,352,3,2,4,44,2260:1,9,39725,36626,42824,,27976,34911,,69,36,,,,42,15,11,20,16656,70,68,72,3024,13,12,15,56488,18.8,21.4,830,1.5,158,0.3,230,0.4,15,0.0,1102,2.0,53510,94.7,98,0,0,0,51.0,23524,41.0
47021,Tennessee,Cheatham,74.0,73.2,74.9,,,,729,503,466,541,,,,20,54,33,84,,,,22,7,4,11,,,,13,12,13,13,12,13,13,10,17,58,174,4040,10,222,1,56,47,60,22,17,28,34,32,35,2889,12,10,13,336,4,2,5,77,1301:1,12,59103,54163,64043,52841,39005,57018,,40,22,6,3,9,38,19,14,26,11599,79,77,81,1539,11,9,13,40330,22.7,14.4,690,1.7,212,0.5,186,0.5,28,0.1,1198,3.0,37451,92.9,33,0,0,0,50.4,32442,83.0
47023,Tennessee,Chester,77.5,76.2,78.7,79.5,,77.2,250,403,351,455,,,,,,,,,,,,,,,,,,14,13,14,14,13,14,13,9,17,8,54,2400,14,980,6,10,19,22,18,11,28,35,34,36,1403,15,12,17,149,4,2,5,82,1223:1,,45261,39707,50815,24045,41447,49571,,49,38,,,,10,12,6,21,4500,75,71,79,636,11,7,15,17119,22.2,17.1,1543,9.0,87,0.5,99,0.6,5,0.0,446,2.6,14659,85.6,50,0,0,1,52.0,11177,65.2
47025,Tennessee,Claiborne,73.5,72.5,74.4,,,,690,555,511,598,,,,12,49,25,85,,,,,,,,,,,15,14,15,15,14,15,14,10,18,13,47,4780,15,3291,10,38,40,54,24,18,32,35,34,36,2268,12,10,14,211,3,2,4,158,632:1,,37886,35037,40735,22895,26597,35941,,69,36,,,,38,24,17,33,9234,71,68,74,1782,15,12,18,31609,19.1,19.5,379,1.2,110,0.3,225,0.7,7,0.0,415,1.3,30094,95.2,105,0,0,1,51.1,23050,71.6
47027,Tennessee,Clay,72.1,69.6,74.5,,,,199,645,546,745,,,,,,,,,,,,,,,,,,18,17,18,17,16,17,14,10,18,7,105,1200,15,5,0,11,47,10,18,9,34,36,35,37,653,15,13,18,66,4,3,6,65,1541:1,,34035,29524,38546,,,,,35,24,,,,17,44,26,70,2359,74,66,82,290,10,5,15,7703,20.1,24.1,123,1.6,27,0.4,7,0.1,8,0.1,179,2.3,7280,94.5,50,1,0,2,50.6,7861,100.0
47029,Tennessee,Cocke,71.9,70.9,72.9,,,,892,635,590,680,,,,20,69,42,106,,,,20,7,5,12,,,,16,16,17,16,15,16,18,13,22,26,87,5790,16,4170,12,25,24,58,23,18,30,37,36,38,2792,14,11,16,231,3,2,4,84,1185:1,19,35788,31642,39934,24079,26071,32349,,59,46,6,3,10,33,19,13,26,9964,68,65,71,1720,13,10,16,35556,20.4,20.7,718,2.0,212,0.6,156,0.4,25,0.1,857,2.4,33116,93.1,37,0,0,0,51.6,24083,67.5
47031,Tennessee,Coffee,74.3,73.5,75.0,72.2,86.1,74.1,1033,529,496,563,610,,538,26,50,33,73,,,,22,5,3,7,,,,14,13,14,14,13,14,13,10,16,46,102,6660,12,3899,7,46,28,76,20,16,25,36,34,37,4372,14,12,16,519,4,3,5,147,679:1,7,48188,43103,53273,34375,27447,47033,,60,24,4,2,7,40,15,11,20,14625,68,65,70,2324,11,9,13,55034,24.0,17.2,1977,3.6,254,0.5,588,1.1,33,0.1,2328,4.2,48893,88.8,408,1,0,1,51.2,24967,47.3
47033,Tennessee,Crockett,75.5,74.2,76.8,76.4,,74.7,244,447,389,505,470,,471,10,71,34,131,,,,,,,,,,,16,16,16,15,15,15,13,9,17,14,116,1980,14,38,0,,,24,24,15,35,36,35,37,1449,17,15,20,184,5,3,7,76,1316:1,,40480,35665,45295,30089,40473,42676,,13,11,,,,13,18,10,31,3770,70,66,73,558,11,8,14,14473,24.0,18.5,1983,13.7,90,0.6,46,0.3,4,0.0,1523,10.5,10698,73.9,228,2,1,2,52.3,9828,67.4
47035,Tennessee,Cumberland,76.9,76.1,77.7,,86.5,76.7,1098,439,409,470,,,,19,45,27,70,,,,27,7,5,10,,,,14,13,14,13,13,14,17,13,20,39,77,7040,12,4498,8,28,16,89,22,18,27,37,35,38,4607,15,13,17,442,4,3,5,93,1074:1,15,45118,41190,49046,,38021,41051,,80,40,4,2,6,63,22,17,28,19627,78,77,80,2599,11,9,12,59078,17.9,30.2,351,0.6,268,0.5,360,0.6,64,0.1,1766,3.0,55732,94.3,439,1,0,1,51.3,34132,60.9
